Produto,UF,Type,Years,Month,Percentage,Yearly_value,Monthly_Value
Milho 2 Safra,SC,Producao,2016,4,0.0,0,0.0
Milho 2 Safra,SC,Producao,2016,5,0.25,0,0.0
Milho 2 Safra,SC,Producao,2016,6,0.25,0,0.0
Milho 2 Safra,SC,Producao,2016,7,0.25,0,0.0
Milho 2 Safra,SC,Producao,2016,8,0.25,0,0.0
Milho 2 Safra,SC,Producao,2016,9,0.0,0,0.0
Milho 2 Safra,SC,Producao,2016,10,0.0,0,0.0
Milho 2 Safra,SC,Producao,2016,11,0.0,0,0.0
Milho 2 Safra,SC,Producao,2016,12,0.0,0,0.0
Milho 2 Safra,SC,Producao,2017,1,0.0,0,0.0
Milho 2 Safra,SC,Producao,2017,2,0.0,0,0.0
Milho 2 Safra,SC,Producao,2017,3,0.0,0,0.0
Milho 2 Safra,SC,Producao,2017,4,0.0,0,0.0
Milho 2 Safra,SC,Producao,2017,5,0.25,0,0.0
Milho 2 Safra,SC,Producao,2017,6,0.25,0,0.0
Milho 2 Safra,SC,Producao,2017,7,0.25,0,0.0
Milho 2 Safra,SC,Producao,2017,8,0.25,0,0.0
Milho 2 Safra,SC,Producao,2017,9,0.0,0,0.0
Milho 2 Safra,SC,Producao,2017,10,0.0,0,0.0
Milho 2 Safra,SC,Producao,2017,11,0.0,0,0.0
Milho 2 Safra,SC,Producao,2017,12,0.0,0,0.0
Milho 2 Safra,SC,Producao,2018,1,0.0,0,0.0
Milho 2 Safra,SC,Producao,2018,2,0.0,0,0.0
Milho 2 Safra,SC,Producao,2018,3,0.0,0,0.0
Milho 2 Safra,SC,Producao,2018,4,0.0,0,0.0
Milho 2 Safra,SC,Producao,2018,5,0.25,0,0.0
Milho 2 Safra,SC,Producao,2018,6,0.25,0,0.0
Milho 2 Safra,SC,Producao,2018,7,0.25,0,0.0
Milho 2 Safra,SC,Producao,2018,8,0.25,0,0.0
Milho 2 Safra,SC,Producao,2018,9,0.0,0,0.0
Milho 2 Safra,SC,Producao,2018,10,0.0,0,0.0
Milho 2 Safra,SC,Producao,2018,11,0.0,0,0.0
Milho 2 Safra,SC,Producao,2018,12,0.0,0,0.0
Milho 2 Safra,SC,Producao,2019,1,0.0,0,0.0
Milho 2 Safra,SC,Producao,2019,2,0.0,0,0.0
Milho 2 Safra,SC,Producao,2019,3,0.0,0,0.0
Milho 2 Safra,SC,Producao,2019,4,0.0,0,0.0
Milho 2 Safra,SC,Producao,2019,5,0.25,0,0.0
Milho 2 Safra,SC,Producao,2019,6,0.25,0,0.0
Milho 2 Safra,SC,Producao,2019,7,0.25,0,0.0
Milho 2 Safra,SC,Producao,2019,8,0.25,0,0.0
Milho 2 Safra,SC,Producao,2019,9,0.0,0,0.0
Milho 2 Safra,SC,Producao,2019,10,0.0,0,0.0
Milho 2 Safra,SC,Producao,2019,11,0.0,0,0.0
Milho 2 Safra,SC,Producao,2019,12,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2012,1,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2012,2,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2012,3,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2012,4,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2012,5,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2012,6,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2012,7,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2012,8,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2012,9,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2012,10,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2012,11,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2012,12,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2013,1,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2013,2,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2013,3,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2013,4,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2013,5,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2013,6,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2013,7,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2013,8,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2013,9,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2013,10,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2013,11,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2013,12,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2014,1,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2014,2,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2014,3,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2014,4,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2014,5,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2014,6,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2014,7,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2014,8,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2014,9,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2014,10,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2014,11,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2014,12,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2015,1,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2015,2,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2015,3,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2015,4,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2015,5,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2015,6,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2015,7,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2015,8,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2015,9,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2015,10,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2015,11,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2015,12,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2016,1,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2016,2,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2016,3,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2016,4,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2016,5,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2016,6,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2016,7,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2016,8,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2016,9,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2016,10,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2016,11,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2016,12,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2017,1,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2017,2,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2017,3,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2017,4,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2017,5,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2017,6,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2017,7,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2017,8,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2017,9,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2017,10,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2017,11,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2017,12,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2018,1,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2018,2,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2018,3,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2018,4,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2018,5,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2018,6,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2018,7,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2018,8,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2018,9,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2018,10,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2018,11,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2018,12,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2019,1,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2019,2,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2019,3,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2019,4,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2019,5,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2019,6,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2019,7,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2019,8,0.25,0,0.0
Milho 2 Safra,RJ,Producao,2019,9,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2019,10,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2019,11,0.0,0,0.0
Milho 2 Safra,RJ,Producao,2019,12,0.0,0,0.0
Milho 2 Safra,AM,Producao,2012,1,0.0,0,0.0
Milho 2 Safra,AM,Producao,2012,2,0.0,0,0.0
Milho 2 Safra,AM,Producao,2012,3,0.0,0,0.0
Milho 2 Safra,AM,Producao,2012,4,0.0,0,0.0
Milho 2 Safra,AM,Producao,2012,5,0.25,0,0.0
Milho 2 Safra,AM,Producao,2012,6,0.25,0,0.0
Milho 2 Safra,AM,Producao,2012,7,0.25,0,0.0
Milho 2 Safra,AM,Producao,2012,8,0.25,0,0.0
Milho 2 Safra,AM,Producao,2012,9,0.0,0,0.0
Milho 2 Safra,AM,Producao,2012,10,0.0,0,0.0
Milho 2 Safra,AM,Producao,2012,11,0.0,0,0.0
Milho 2 Safra,AM,Producao,2012,12,0.0,0,0.0
Milho 2 Safra,AM,Producao,2013,1,0.0,0,0.0
Milho 2 Safra,AM,Producao,2013,2,0.0,0,0.0
Milho 2 Safra,AM,Producao,2013,3,0.0,0,0.0
Milho 2 Safra,AM,Producao,2013,4,0.0,0,0.0
Milho 2 Safra,AM,Producao,2013,5,0.25,0,0.0
Milho 2 Safra,AM,Producao,2013,6,0.25,0,0.0
Milho 2 Safra,AM,Producao,2013,7,0.25,0,0.0
Milho 2 Safra,AM,Producao,2013,8,0.25,0,0.0
Milho 2 Safra,AM,Producao,2013,9,0.0,0,0.0
Milho 2 Safra,AM,Producao,2013,10,0.0,0,0.0
Milho 2 Safra,AM,Producao,2013,11,0.0,0,0.0
Milho 2 Safra,AM,Producao,2013,12,0.0,0,0.0
Milho 2 Safra,AM,Producao,2014,1,0.0,0,0.0
Milho 2 Safra,AM,Producao,2014,2,0.0,0,0.0
Milho 2 Safra,AM,Producao,2014,3,0.0,0,0.0
Milho 2 Safra,AM,Producao,2014,4,0.0,0,0.0
Milho 2 Safra,AM,Producao,2014,5,0.25,0,0.0
Milho 2 Safra,AM,Producao,2014,6,0.25,0,0.0
Milho 2 Safra,AM,Producao,2014,7,0.25,0,0.0
Milho 2 Safra,AM,Producao,2014,8,0.25,0,0.0
Milho 2 Safra,AM,Producao,2014,9,0.0,0,0.0
Milho 2 Safra,AM,Producao,2014,10,0.0,0,0.0
Milho 2 Safra,AM,Producao,2014,11,0.0,0,0.0
Milho 2 Safra,AM,Producao,2014,12,0.0,0,0.0
Milho 2 Safra,AM,Producao,2015,1,0.0,0,0.0
Milho 2 Safra,AM,Producao,2015,2,0.0,0,0.0
Milho 2 Safra,AM,Producao,2015,3,0.0,0,0.0
Milho 2 Safra,AM,Producao,2015,4,0.0,0,0.0
Milho 2 Safra,AM,Producao,2015,5,0.25,0,0.0
Milho 2 Safra,AM,Producao,2015,6,0.25,0,0.0
Milho 2 Safra,AM,Producao,2015,7,0.25,0,0.0
Milho 2 Safra,AM,Producao,2015,8,0.25,0,0.0
Milho 2 Safra,AM,Producao,2015,9,0.0,0,0.0
Milho 2 Safra,AM,Producao,2015,10,0.0,0,0.0
Milho 2 Safra,AM,Producao,2015,11,0.0,0,0.0
Milho 2 Safra,AM,Producao,2015,12,0.0,0,0.0
Milho 2 Safra,AM,Producao,2016,1,0.0,0,0.0
Milho 2 Safra,AM,Producao,2016,2,0.0,0,0.0
Milho 2 Safra,AM,Producao,2016,3,0.0,0,0.0
Milho 2 Safra,AM,Producao,2016,4,0.0,0,0.0
Milho 2 Safra,AM,Producao,2016,5,0.25,0,0.0
Milho 2 Safra,AM,Producao,2016,6,0.25,0,0.0
Milho 2 Safra,AM,Producao,2016,7,0.25,0,0.0
Milho 2 Safra,AM,Producao,2016,8,0.25,0,0.0
Milho 2 Safra,AM,Producao,2016,9,0.0,0,0.0
Milho 2 Safra,AM,Producao,2016,10,0.0,0,0.0
Milho 2 Safra,AM,Producao,2016,11,0.0,0,0.0
Milho 2 Safra,AM,Producao,2016,12,0.0,0,0.0
Milho 2 Safra,AM,Producao,2017,1,0.0,0,0.0
Milho 2 Safra,AM,Producao,2017,2,0.0,0,0.0
Milho 2 Safra,AM,Producao,2017,3,0.0,0,0.0
Milho 2 Safra,AM,Producao,2017,4,0.0,0,0.0
Milho 2 Safra,AM,Producao,2017,5,0.25,0,0.0
Milho 2 Safra,AM,Producao,2017,6,0.25,0,0.0
Milho 2 Safra,AM,Producao,2017,7,0.25,0,0.0
Milho 2 Safra,AM,Producao,2017,8,0.25,0,0.0
Milho 2 Safra,AM,Producao,2017,9,0.0,0,0.0
Milho 2 Safra,AM,Producao,2017,10,0.0,0,0.0
Milho 2 Safra,AM,Producao,2017,11,0.0,0,0.0
Milho 2 Safra,AM,Producao,2017,12,0.0,0,0.0
Milho 2 Safra,AM,Producao,2018,1,0.0,0,0.0
Milho 2 Safra,AM,Producao,2018,2,0.0,0,0.0
Milho 2 Safra,AM,Producao,2018,3,0.0,0,0.0
Milho 2 Safra,AM,Producao,2018,4,0.0,0,0.0
Milho 2 Safra,AM,Producao,2018,5,0.25,0,0.0
Milho 2 Safra,AM,Producao,2018,6,0.25,0,0.0
Milho 2 Safra,AM,Producao,2018,7,0.25,0,0.0
Milho 2 Safra,AM,Producao,2018,8,0.25,0,0.0
Milho 2 Safra,AM,Producao,2018,9,0.0,0,0.0
Milho 2 Safra,AM,Producao,2018,10,0.0,0,0.0
Milho 2 Safra,AM,Producao,2018,11,0.0,0,0.0
Milho 2 Safra,AM,Producao,2018,12,0.0,0,0.0
Milho 2 Safra,AM,Producao,2019,1,0.0,0,0.0
Milho 2 Safra,AM,Producao,2019,2,0.0,0,0.0
Milho 2 Safra,AM,Producao,2019,3,0.0,0,0.0
Milho 2 Safra,AM,Producao,2019,4,0.0,0,0.0
Milho 2 Safra,AM,Producao,2019,5,0.25,0,0.0
Milho 2 Safra,AM,Producao,2019,6,0.25,0,0.0
Milho 2 Safra,AM,Producao,2019,7,0.25,0,0.0
Milho 2 Safra,AM,Producao,2019,8,0.25,0,0.0
Milho 2 Safra,AM,Producao,2019,9,0.0,0,0.0
Milho 2 Safra,AM,Producao,2019,10,0.0,0,0.0
Milho 2 Safra,AM,Producao,2019,11,0.0,0,0.0
Milho 2 Safra,AM,Producao,2019,12,0.0,0,0.0
Milho 2 Safra,AC,Producao,2012,1,0.0,0,0.0
Milho 2 Safra,AC,Producao,2012,2,0.0,0,0.0
Milho 2 Safra,AC,Producao,2012,3,0.0,0,0.0
Milho 2 Safra,AC,Producao,2012,4,0.0,0,0.0
Milho 2 Safra,AC,Producao,2012,5,0.25,0,0.0
Milho 2 Safra,AC,Producao,2012,6,0.25,0,0.0
Milho 2 Safra,AC,Producao,2012,7,0.25,0,0.0
Milho 2 Safra,AC,Producao,2012,8,0.25,0,0.0
Milho 2 Safra,AC,Producao,2012,9,0.0,0,0.0
Milho 2 Safra,AC,Producao,2012,10,0.0,0,0.0
Milho 2 Safra,AC,Producao,2012,11,0.0,0,0.0
Milho 2 Safra,AC,Producao,2012,12,0.0,0,0.0
Milho 2 Safra,AC,Producao,2013,1,0.0,0,0.0
Milho 2 Safra,AC,Producao,2013,2,0.0,0,0.0
Milho 2 Safra,AC,Producao,2013,3,0.0,0,0.0
Milho 2 Safra,AC,Producao,2013,4,0.0,0,0.0
Milho 2 Safra,AC,Producao,2013,5,0.25,0,0.0
Milho 2 Safra,AC,Producao,2013,6,0.25,0,0.0
Milho 2 Safra,AC,Producao,2013,7,0.25,0,0.0
Milho 2 Safra,AC,Producao,2013,8,0.25,0,0.0
Milho 2 Safra,AC,Producao,2013,9,0.0,0,0.0
Milho 2 Safra,AC,Producao,2013,10,0.0,0,0.0
Milho 2 Safra,AC,Producao,2013,11,0.0,0,0.0
Milho 2 Safra,AC,Producao,2013,12,0.0,0,0.0
Milho 2 Safra,AC,Producao,2014,1,0.0,0,0.0
Milho 2 Safra,AC,Producao,2014,2,0.0,0,0.0
Milho 2 Safra,AC,Producao,2014,3,0.0,0,0.0
Milho 2 Safra,AC,Producao,2014,4,0.0,0,0.0
Milho 2 Safra,AC,Producao,2014,5,0.25,0,0.0
Milho 2 Safra,AC,Producao,2014,6,0.25,0,0.0
Milho 2 Safra,AC,Producao,2014,7,0.25,0,0.0
Milho 2 Safra,AC,Producao,2014,8,0.25,0,0.0
Milho 2 Safra,AC,Producao,2014,9,0.0,0,0.0
Milho 2 Safra,AC,Producao,2014,10,0.0,0,0.0
Milho 2 Safra,AC,Producao,2014,11,0.0,0,0.0
Milho 2 Safra,AC,Producao,2014,12,0.0,0,0.0
Milho 2 Safra,AC,Producao,2015,1,0.0,0,0.0
Milho 2 Safra,AC,Producao,2015,2,0.0,0,0.0
Milho 2 Safra,AC,Producao,2015,3,0.0,0,0.0
Milho 2 Safra,AC,Producao,2015,4,0.0,0,0.0
Milho 2 Safra,AC,Producao,2015,5,0.25,0,0.0
Milho 2 Safra,AC,Producao,2015,6,0.25,0,0.0
Milho 2 Safra,AC,Producao,2015,7,0.25,0,0.0
Milho 2 Safra,AC,Producao,2015,8,0.25,0,0.0
Milho 2 Safra,AC,Producao,2015,9,0.0,0,0.0
Milho 2 Safra,AC,Producao,2015,10,0.0,0,0.0
Milho 2 Safra,AC,Producao,2015,11,0.0,0,0.0
Milho 2 Safra,AC,Producao,2015,12,0.0,0,0.0
Milho 2 Safra,AC,Producao,2016,1,0.0,0,0.0
Milho 2 Safra,AC,Producao,2016,2,0.0,0,0.0
Milho 2 Safra,AC,Producao,2016,3,0.0,0,0.0
Milho 2 Safra,AC,Producao,2016,4,0.0,0,0.0
Milho 2 Safra,AC,Producao,2016,5,0.25,0,0.0
Milho 2 Safra,AC,Producao,2016,6,0.25,0,0.0
Milho 2 Safra,AC,Producao,2016,7,0.25,0,0.0
Milho 2 Safra,AC,Producao,2016,8,0.25,0,0.0
Milho 2 Safra,AC,Producao,2016,9,0.0,0,0.0
Milho 2 Safra,AC,Producao,2016,10,0.0,0,0.0
Milho 2 Safra,AC,Producao,2016,11,0.0,0,0.0
Milho 2 Safra,AC,Producao,2016,12,0.0,0,0.0
Milho 2 Safra,AC,Producao,2017,1,0.0,0,0.0
Milho 2 Safra,AC,Producao,2017,2,0.0,0,0.0
Milho 2 Safra,AC,Producao,2017,3,0.0,0,0.0
Milho 2 Safra,AC,Producao,2017,4,0.0,0,0.0
Milho 2 Safra,AC,Producao,2017,5,0.25,0,0.0
Milho 2 Safra,AC,Producao,2017,6,0.25,0,0.0
Milho 2 Safra,AC,Producao,2017,7,0.25,0,0.0
Milho 2 Safra,AC,Producao,2017,8,0.25,0,0.0
Milho 2 Safra,AC,Producao,2017,9,0.0,0,0.0
Milho 2 Safra,AC,Producao,2017,10,0.0,0,0.0
Milho 2 Safra,AC,Producao,2017,11,0.0,0,0.0
Milho 2 Safra,AC,Producao,2017,12,0.0,0,0.0
Milho 2 Safra,AC,Producao,2018,1,0.0,0,0.0
Milho 2 Safra,AC,Producao,2018,2,0.0,0,0.0
Milho 2 Safra,AC,Producao,2018,3,0.0,0,0.0
Milho 2 Safra,AC,Producao,2018,4,0.0,0,0.0
Milho 2 Safra,AC,Producao,2018,5,0.25,0,0.0
Milho 2 Safra,AC,Producao,2018,6,0.25,0,0.0
Milho 2 Safra,AC,Producao,2018,7,0.25,0,0.0
Milho 2 Safra,AC,Producao,2018,8,0.25,0,0.0
Milho 2 Safra,AC,Producao,2018,9,0.0,0,0.0
Milho 2 Safra,AC,Producao,2018,10,0.0,0,0.0
Milho 2 Safra,AC,Producao,2018,11,0.0,0,0.0
Milho 2 Safra,AC,Producao,2018,12,0.0,0,0.0
Milho 2 Safra,AC,Producao,2019,1,0.0,0,0.0
Milho 2 Safra,AC,Producao,2019,2,0.0,0,0.0
Milho 2 Safra,AC,Producao,2019,3,0.0,0,0.0
Milho 2 Safra,AC,Producao,2019,4,0.0,0,0.0
Milho 2 Safra,AC,Producao,2019,5,0.25,0,0.0
Milho 2 Safra,AC,Producao,2019,6,0.25,0,0.0
Milho 2 Safra,AC,Producao,2019,7,0.25,0,0.0
Milho 2 Safra,AC,Producao,2019,8,0.25,0,0.0
Milho 2 Safra,AC,Producao,2019,9,0.0,0,0.0
Milho 2 Safra,AC,Producao,2019,10,0.0,0,0.0
Milho 2 Safra,AC,Producao,2019,11,0.0,0,0.0
Milho 2 Safra,AC,Producao,2019,12,0.0,0,0.0
Milho 2 Safra,RS,Producao,2012,1,0.0,0,0.0
Milho 2 Safra,RS,Producao,2012,2,0.0,0,0.0
Milho 2 Safra,RS,Producao,2012,3,0.0,0,0.0
Milho 2 Safra,RS,Producao,2012,4,0.0,0,0.0
Milho 2 Safra,RS,Producao,2012,5,0.25,0,0.0
Milho 2 Safra,RS,Producao,2012,6,0.25,0,0.0
Milho 2 Safra,RS,Producao,2012,7,0.25,0,0.0
Milho 2 Safra,RS,Producao,2012,8,0.25,0,0.0
Milho 2 Safra,RS,Producao,2012,9,0.0,0,0.0
Milho 2 Safra,RS,Producao,2012,10,0.0,0,0.0
Milho 2 Safra,RS,Producao,2012,11,0.0,0,0.0
Milho 2 Safra,RS,Producao,2012,12,0.0,0,0.0
Milho 2 Safra,RS,Producao,2013,1,0.0,0,0.0
Milho 2 Safra,RS,Producao,2013,2,0.0,0,0.0
Milho 2 Safra,RS,Producao,2013,3,0.0,0,0.0
Milho 2 Safra,RS,Producao,2013,4,0.0,0,0.0
Milho 2 Safra,RS,Producao,2013,5,0.25,0,0.0
Milho 2 Safra,RS,Producao,2013,6,0.25,0,0.0
Milho 2 Safra,RS,Producao,2013,7,0.25,0,0.0
Milho 2 Safra,RS,Producao,2013,8,0.25,0,0.0
Milho 2 Safra,RS,Producao,2013,9,0.0,0,0.0
Milho 2 Safra,RS,Producao,2013,10,0.0,0,0.0
Milho 2 Safra,RS,Producao,2013,11,0.0,0,0.0
Milho 2 Safra,RS,Producao,2013,12,0.0,0,0.0
Milho 2 Safra,RS,Producao,2014,1,0.0,0,0.0
Milho 2 Safra,RS,Producao,2014,2,0.0,0,0.0
Milho 2 Safra,RS,Producao,2014,3,0.0,0,0.0
Milho 2 Safra,RS,Producao,2014,4,0.0,0,0.0
Milho 2 Safra,RS,Producao,2014,5,0.25,0,0.0
Milho 2 Safra,RS,Producao,2014,6,0.25,0,0.0
Milho 2 Safra,RS,Producao,2014,7,0.25,0,0.0
Milho 2 Safra,RS,Producao,2014,8,0.25,0,0.0
Milho 2 Safra,RS,Producao,2014,9,0.0,0,0.0
Milho 2 Safra,RS,Producao,2014,10,0.0,0,0.0
Milho 2 Safra,RS,Producao,2014,11,0.0,0,0.0
Milho 2 Safra,RS,Producao,2014,12,0.0,0,0.0
Milho 2 Safra,RS,Producao,2015,1,0.0,0,0.0
Milho 2 Safra,RS,Producao,2015,2,0.0,0,0.0
Milho 2 Safra,RS,Producao,2015,3,0.0,0,0.0
Milho 2 Safra,RS,Producao,2015,4,0.0,0,0.0
Milho 2 Safra,RS,Producao,2015,5,0.25,0,0.0
Milho 2 Safra,RS,Producao,2015,6,0.25,0,0.0
Milho 2 Safra,RS,Producao,2015,7,0.25,0,0.0
Milho 2 Safra,RS,Producao,2015,8,0.25,0,0.0
Milho 2 Safra,RS,Producao,2015,9,0.0,0,0.0
Milho 2 Safra,RS,Producao,2015,10,0.0,0,0.0
Milho 2 Safra,RS,Producao,2015,11,0.0,0,0.0
Milho 2 Safra,RS,Producao,2015,12,0.0,0,0.0
Milho 2 Safra,RS,Producao,2016,1,0.0,0,0.0
Milho 2 Safra,RS,Producao,2016,2,0.0,0,0.0
Milho 2 Safra,RS,Producao,2016,3,0.0,0,0.0
Milho 2 Safra,RS,Producao,2016,4,0.0,0,0.0
Milho 2 Safra,RS,Producao,2016,5,0.25,0,0.0
Milho 2 Safra,RS,Producao,2016,6,0.25,0,0.0
Milho 2 Safra,RS,Producao,2016,7,0.25,0,0.0
Milho 2 Safra,RS,Producao,2016,8,0.25,0,0.0
Milho 2 Safra,RS,Producao,2016,9,0.0,0,0.0
Milho 2 Safra,RS,Producao,2016,10,0.0,0,0.0
Milho 2 Safra,RS,Producao,2016,11,0.0,0,0.0
Milho 2 Safra,RS,Producao,2016,12,0.0,0,0.0
Milho 2 Safra,RS,Producao,2017,1,0.0,0,0.0
Milho 2 Safra,RS,Producao,2017,2,0.0,0,0.0
Milho 2 Safra,RS,Producao,2017,3,0.0,0,0.0
Milho 2 Safra,RS,Producao,2017,4,0.0,0,0.0
Milho 2 Safra,RS,Producao,2017,5,0.25,0,0.0
Milho 2 Safra,RS,Producao,2017,6,0.25,0,0.0
Milho 2 Safra,RS,Producao,2017,7,0.25,0,0.0
Milho 2 Safra,RS,Producao,2017,8,0.25,0,0.0
Milho 2 Safra,RS,Producao,2017,9,0.0,0,0.0
Milho 2 Safra,RS,Producao,2017,10,0.0,0,0.0
Milho 2 Safra,RS,Producao,2017,11,0.0,0,0.0
Milho 2 Safra,RS,Producao,2017,12,0.0,0,0.0
Milho 2 Safra,RS,Producao,2018,1,0.0,0,0.0
Milho 2 Safra,RS,Producao,2018,2,0.0,0,0.0
Milho 2 Safra,RS,Producao,2018,3,0.0,0,0.0
Milho 2 Safra,RS,Producao,2018,4,0.0,0,0.0
Milho 2 Safra,RS,Producao,2018,5,0.25,0,0.0
Milho 2 Safra,RS,Producao,2018,6,0.25,0,0.0
Milho 2 Safra,RS,Producao,2018,7,0.25,0,0.0
Milho 2 Safra,RS,Producao,2018,8,0.25,0,0.0
Milho 2 Safra,RS,Producao,2018,9,0.0,0,0.0
Milho 2 Safra,RS,Producao,2018,10,0.0,0,0.0
Milho 2 Safra,RS,Producao,2018,11,0.0,0,0.0
Milho 2 Safra,RS,Producao,2018,12,0.0,0,0.0
Milho 2 Safra,RS,Producao,2019,1,0.0,0,0.0
Milho 2 Safra,RS,Producao,2019,2,0.0,0,0.0
Milho 2 Safra,RS,Producao,2019,3,0.0,0,0.0
Milho 2 Safra,RS,Producao,2019,4,0.0,0,0.0
Milho 2 Safra,RS,Producao,2019,5,0.25,0,0.0
Milho 2 Safra,RS,Producao,2019,6,0.25,0,0.0
Milho 2 Safra,RS,Producao,2019,7,0.25,0,0.0
Milho 2 Safra,RS,Producao,2019,8,0.25,0,0.0
Milho 2 Safra,RS,Producao,2019,9,0.0,0,0.0
Milho 2 Safra,RS,Producao,2019,10,0.0,0,0.0
Milho 2 Safra,RS,Producao,2019,11,0.0,0,0.0
Milho 2 Safra,RS,Producao,2019,12,0.0,0,0.0
Milho 2 Safra,RN,Producao,2012,1,0.0,0,0.0
Milho 2 Safra,RN,Producao,2012,2,0.0,0,0.0
Milho 2 Safra,RN,Producao,2012,3,0.0,0,0.0
Milho 2 Safra,RN,Producao,2012,4,0.0,0,0.0
